reply_text,username,date,likes,replies
@BRICSinfo Isso é castigo por atacar o país dos outros.,erikandeso,Tue Mar 31 23:23:22 +0000 2026,0,0
"@BRICSinfo ....well, there's more where that comes from https://t.co/izdD1TLS03",TumiTemo,Wed Apr 01 00:09:12 +0000 2026,73,0
@BRICSinfo I'm glad no one was hurt in that attack.,Belluahi,Tue Mar 31 23:29:25 +0000 2026,1,0
@BRICSinfo Dear Lord please 🙏🏼 I pray for this war end!!! https://t.co/tVcfevx940,LunaLion8308,Tue Mar 31 23:20:12 +0000 2026,18,2
@BRICSinfo Trump was busy signing a ceasefire,Dglazingman,Tue Mar 31 23:58:02 +0000 2026,0,0
"@BRICSinfo Verify this....?  It's a real or fake.....?
Show more. https://t.co/TWQxGBN2gC",Iranarmy001,Wed Apr 01 01:07:35 +0000 2026,3,0
"@BRICSinfo Iran's in panic mode.
Is their leader gay",DatFark,Tue Mar 31 23:47:28 +0000 2026,0,0
"@BRICSinfo Crazy 😱 
@grok  was this strike in a military base or embassy?",Halger7,Tue Mar 31 23:32:34 +0000 2026,0,1
@BRICSinfo They only have Netanyahu and Trump to blame,BenarKimani,Wed Apr 01 07:13:57 +0000 2026,0,0
"@BRICSinfo They're like ""Damn these Arabs aren't just wielding sticks and rocks like we've been told so""",JPDelta9,Wed Apr 01 00:16:14 +0000 2026,0,0
@BRICSinfo Have no negotiations been made? @grok,Vineethb24,Wed Apr 01 00:06:58 +0000 2026,0,1
@BRICSinfo @grok verify this is true?,the_lndshrk,Tue Mar 31 23:40:23 +0000 2026,0,1
@BRICSinfo Didn't happen under Biden,Spirits1989,Wed Apr 01 00:48:05 +0000 2026,0,0
@BRICSinfo Trump's inner circle is drinking wine at the White House.,clarenzbazile,Tue Mar 31 23:37:59 +0000 2026,1,0
"@BRICSinfo Soldiers sleep. Not in full uniform.  When there is incoming, protective gear is first and immediate movement to bunker.",newsflashgordy,Wed Apr 01 01:56:56 +0000 2026,1,1
@BRICSinfo Sad..... They all survived,DarRabi,Wed Apr 01 07:30:35 +0000 2026,0,0
@BRICSinfo https://t.co/qsirs4X0bE,Dre3rdCoast713,Wed Apr 01 05:51:48 +0000 2026,0,0
@BRICSinfo Hit😜,say34580,Tue Mar 31 23:51:16 +0000 2026,0,0
@BRICSinfo War sucks but imagine being an Iranian soldier,TSmitty1776,Wed Apr 01 00:34:57 +0000 2026,0,0
"@BRICSinfo US troops scrambling for cover as Iranian ballistic missiles light up the sky over a Gulf base. This comes amid ongoing retaliation in the 2026 Iran war, with strikes hitting sites like Prince Sultan Air Base — where reports confirm damage to an E-3 Sentry AWACS and injuries to",Vastechat,Wed Apr 01 01:24:53 +0000 2026,0,0
@BRICSinfo Meanwhile the instigators are in their houses😭,yenkor_heblews,Tue Mar 31 23:44:10 +0000 2026,0,0
@BRICSinfo This looks ai? @grok am I wrong?,BCResource,Wed Apr 01 03:52:36 +0000 2026,0,1
@BRICSinfo Paid propaganda at its finest.,patseagle,Tue Mar 31 23:55:55 +0000 2026,0,0
@BRICSinfo This feels so good to watch,kiingofcanada,Wed Apr 01 06:09:13 +0000 2026,0,0
@BRICSinfo yo war ain't just a video game with respawns guys,psychozqa,Wed Apr 01 02:45:32 +0000 2026,0,0
"@BRICSinfo seems like it's not ending soon,we have hope though",pitchplaylists,Wed Apr 01 01:41:14 +0000 2026,0,0
@BRICSinfo Dude is wearing shorts?   The hell is this?,qpriches75,Wed Apr 01 00:46:42 +0000 2026,0,1
"@BRICSinfo Benjamin Netanyahu or Donald J Trump?
The President of the United State of America 🇺🇸 https://t.co/RvxVbz8VHK",ibraheemch333,Wed Apr 01 03:07:25 +0000 2026,1,0
@BRICSinfo Trump put them in this mess. Israel won’t even send their own Army,levellre,Wed Apr 01 04:12:11 +0000 2026,2,1
"@BRICSinfo Taking cover 
I said you guys underrated Iran
Hope you're prepared.for more to come",olumojay1,Tue Mar 31 23:30:05 +0000 2026,0,0
@BRICSinfo It's really odd that soldier had no pants on. Very odd.,fakearsonist,Wed Apr 01 01:54:00 +0000 2026,0,0
@BRICSinfo lol? https://t.co/22EbwUxdJc,Yeahfolks,Wed Apr 01 03:47:32 +0000 2026,0,0
"@BRICSinfo Iran has already struck U.S. bases and injured troops, but this specific footage of a near-miss isn’t independently verified yet—likely real context, unclear video.",CryptoXBaseNews,Tue Mar 31 23:36:10 +0000 2026,2,0
@BRICSinfo Putting our military at risk for no reason.,MithaIntel,Wed Apr 01 00:12:30 +0000 2026,2,0
"@BRICSinfo Iran has won this illegal, criminal war of aggression.",MadelainaE,Wed Apr 01 09:59:01 +0000 2026,0,0
@BRICSinfo When will this war finally end? How many more innocent people must be sacrificed because of it?,Bella27175472,Tue Mar 31 23:41:43 +0000 2026,0,0
@BRICSinfo Can u start telling a tiny bit of truth,AnitaBeer135319,Wed Apr 01 10:34:16 +0000 2026,0,0
@BRICSinfo Is that person in shorts? I didnt know shorts were military issue.,Zeppo81190327,Wed Apr 01 00:56:46 +0000 2026,0,0
@BRICSinfo They could just get a dishonorable discharge,Julianare0515,Tue Mar 31 23:38:52 +0000 2026,0,0
@BRICSinfo @grok Can you verify if this is AI-generated?,Afamfreemind,Wed Apr 01 05:17:50 +0000 2026,2,1
@BRICSinfo do they need diapers ?,Xakiru,Wed Apr 01 00:01:55 +0000 2026,0,0
@BRICSinfo 😂😂😂 https://t.co/mgu7ECXn0Q,Muzammil9797003,Tue Mar 31 23:35:00 +0000 2026,0,0
@BRICSinfo @grok when did this happen,BilkisuMuh96362,Wed Apr 01 00:04:43 +0000 2026,0,1
"@BRICSinfo FAKE. All of it, including the ""strike"".",SuperGorillaOk,Wed Apr 01 00:35:08 +0000 2026,0,0
@BRICSinfo The base has entered the chat. Uninvited.,babcoq,Wed Apr 01 05:00:59 +0000 2026,0,0
@BRICSinfo Iran can’t aim for shit.. 🫵🤣,Nenphus,Wed Apr 01 05:41:20 +0000 2026,1,0
"@BRICSinfo That's a young girl soldier, look at the outfit.....you think these lot can go up against real warriors who are defending their country an families.....western world needs a wake up.....wild",cryptoking3311,Wed Apr 01 10:36:02 +0000 2026,0,0
@BRICSinfo Lmfao,BreadShadow,Wed Apr 01 05:07:34 +0000 2026,0,0
"@BRICSinfo Trump: ""We will bomb Iran into submission"" 💪
Reality March 2026 —
Al Udeid — hit. Prince Sultan base — hit. Bahrain naval HQ — repeatedly hit. Kuwait base — hit. Qatar base — hit.

 International Peaceran still has substantial missile capability — only a third confirmed",Rohit51388267,Wed Apr 01 02:46:52 +0000 2026,4,0
"@BRICSinfo Bro really out here doing the ‘missile incoming’ version of the Macarena. Next time just bring a bigger umbrella, champ. 🇺🇸💥",MutiJosefa,Wed Apr 01 02:06:15 +0000 2026,0,0
"@BRICSinfo This is what escalation actually looks like—no headlines, just real people ducking for cover.

When you see U.S. troops taking shelter from Iranian missiles, it stops being politics or strategy and becomes survival. And the scary part? This isn’t even a one-off attacks on U.S.",iambenedict__,Tue Mar 31 23:51:30 +0000 2026,4,0
@BRICSinfo We gonna take Kharg Island! 🇺🇸 🤪,kdi_inc,Wed Apr 01 04:03:01 +0000 2026,0,0
"@BRICSinfo Is this breaking news?
Taking cover is what soldiers do.",wilsonmarivasa,Wed Apr 01 04:30:27 +0000 2026,0,0
"@BRICSinfo Everyone abandoned Trump except Israel – will Trump take revenge on them after the war? – Yes, of course.🇺🇸",AdaM_002022,Wed Apr 01 00:10:40 +0000 2026,1,1
@BRICSinfo We are told Iran is weak!,Mthobis43350617,Wed Apr 01 03:43:27 +0000 2026,0,0
@BRICSinfo https://t.co/lEoAh5xz7C,Daniel38Miranda,Wed Apr 01 02:42:30 +0000 2026,0,0
"@BRICSinfo 🇮🇶🇺🇸🇮🇷 Baghdad’s Victoria base attacked again.

Smoke billowing from the site.
#Iran
#Israel. https://t.co/UKjOs42zeC",Kiraguri254,Wed Apr 01 05:29:23 +0000 2026,0,0
@BRICSinfo When your taking a shit and Iran starts bombing you https://t.co/hglF9xSqaH,SehsilCecil,Wed Apr 01 00:40:26 +0000 2026,13,0
@BRICSinfo Just go back to US if you love your family,vish111110,Wed Apr 01 03:19:14 +0000 2026,0,0
@BRICSinfo It's from the Iranian ballistic missile strike on Al Asad Air Base in Iraq.  You know you're being  full of shit.,DavidTAKACatfi1,Wed Apr 01 03:46:51 +0000 2026,0,0
@BRICSinfo LMAO!… what is Iran trying to do to the US?,MarryOne19,Tue Mar 31 23:22:30 +0000 2026,0,0
@BRICSinfo We stand with Iran https://t.co/aKb2H1bxAq,Ericboy123890,Tue Mar 31 23:36:06 +0000 2026,4,0
@BRICSinfo Why do conflicts like this always drag innocent people into it https://t.co/2mysCX7MJh,ObaSaucy,Tue Mar 31 23:21:09 +0000 2026,4,0
@BRICSinfo Keep going,AdvDhillonJutt,Wed Apr 01 04:19:34 +0000 2026,0,0
"@BRICSinfo Indeed, she's a lady.😂😂",ManUtd_dentist,Wed Apr 01 05:48:27 +0000 2026,0,0
@BRICSinfo Haahhahaha die motherfuckers,BiGGhuss96,Tue Mar 31 23:53:00 +0000 2026,0,0
@BRICSinfo That's Too Damn Close 🤯,BTChobo,Wed Apr 01 03:22:35 +0000 2026,0,0
@BRICSinfo About to die in his underwear,NassirHussain03,Wed Apr 01 04:25:30 +0000 2026,0,0
@BRICSinfo These guys shouldn’t even fucking be there!,Zeeboom67,Wed Apr 01 00:43:18 +0000 2026,0,0
@BRICSinfo Get our kids out of there! The fact that no one was freaking out and they asking each other if they are ok . Wow brave young people,truthconquest,Wed Apr 01 02:40:01 +0000 2026,0,0
@BRICSinfo @gork is this true ?,iRajeshVK,Wed Apr 01 01:17:28 +0000 2026,0,1
@BRICSinfo This is a serious escalation. Hoping for the safety of our troops and a de-escalation of tensions.,pumpfun_sol,Tue Mar 31 23:19:24 +0000 2026,1,0
